id,nome,categoria,grupo_muscular,equipamento,nivel,slug
treino_085,Remada Curvada com Barra,Hipertrofia – Costas,Dorsal,Barra longa,"['Intermediário', 'Avançado']",remada_curvada_com_barra
treino_086,Rosca Direta na Polia Baixa com Barra Reta,Hipertrofia – Bíceps,Bíceps,Crossover ou Crosmith + barra reta,"['Iniciante', 'Intermediário', 'Avançado']",rosca_direta_na_polia_baixa_com_barra_reta
treino_087,Rosca Direta com Halteres,Hipertrofia – Bíceps,Bíceps,Halteres,"['Iniciante', 'Intermediário', 'Avançado']",rosca_direta_com_halteres
treino_088,Bíceps Alternado / Unilateral,Hipertrofia – Bíceps,Bíceps,Máquina de bíceps,"['Intermediário', 'Avançado']",biceps_alternado_unilateral
treino_089,Rosca Direta na Máquina,Hipertrofia – Bíceps,Bíceps,Máquina de bíceps,"['Intermediário', 'Avançado']",rosca_direta_na_maquina
treino_090,Rosca Direta Alternada com Rotação de Cotovelos,Hipertrofia – Bíceps,Bíceps,Halteres,"['Intermediário', 'Avançado']",rosca_direta_alternada_com_rotacao_de_cotovelos
treino_091,Rosca Martelo com Corda,Hipertrofia – Bíceps,Bíceps,Crossover ou Crosmith + corda,"['Intermediário', 'Avançado']",rosca_martelo_com_corda
treino_092,Rosca Unilateral na Polia Baixa,Hipertrofia – Bíceps,Bíceps,Crossover ou Crosmith + pegador,"['Intermediário', 'Avançado']",rosca_unilateral_na_polia_baixa
treino_093,Remada Alta na Polia,Hipertrofia – Ombros,Ombros / Trapézio,Crossover ou Crosmith + barra reta,"['Iniciante', 'Intermediário', 'Avançado']",remada_alta_na_polia
treino_094,Remada Alta com Barra,Hipertrofia – Ombros,Ombros / Trapézio,Barra montada ou desmontada,"['Intermediário', 'Avançado']",remada_alta_com_barra
treino_095,Remada Alta + Desenvolvimento com Barra,Hipertrofia – Ombros,Ombros / Trapézio,Barra reta,"['Intermediário', 'Avançado']",remada_alta_desenvolvimento_com_barra
treino_096,Desenvolvimento com Halteres,Hipertrofia – Ombros,Ombros,Halteres e banco,"['Intermediário', 'Avançado']",desenvolvimento_com_halteres
treino_097,Desenvolvimento Arnold em Pé,Hipertrofia – Ombros,Ombros,Halteres,"['Intermediário', 'Avançado']",desenvolvimento_arnold_em_pe
treino_098,Desenvolvimento na Máquina,Hipertrofia – Ombros,Ombros,Máquina de desenvolvimento,['Avançado'],desenvolvimento_na_maquina
treino_099,Elevação Frontal na Polia com Barra Reta,Hipertrofia – Ombros,Ombros,Crossover ou Crosmith + barra reta,"['Intermediário', 'Avançado']",elevacao_frontal_na_polia_com_barra_reta
treino_100,Elevação Frontal – Ombro e Peitoral,Hipertrofia – Peitoral,Ombros / Peitoral,Crossover ou Crosmith + barra reta,['Avançado'],elevacao_frontal_ombro_e_peitoral
treino_101,Elevação Lateral + Desenvolvimento com Cotovelos à Frente,Hipertrofia – Ombros,Ombros,Halteres,"['Iniciante', 'Intermediário', 'Avançado']",elevacao_lateral_desenvolvimento_com_cotovelos_a_frente
treino_102,Elevação Frontal com Halteres,Hipertrofia – Peitoral,Ombros / Peitoral,Halteres,['Avançado'],elevacao_frontal_com_halteres
treino_103,Elevação Lateral na Polia,Hipertrofia – Ombros,Ombros,Crossover ou Crosmith + pegador,['Avançado'],elevacao_lateral_na_polia
treino_104,Elevação Lateral no Banco,Hipertrofia – Ombros,Ombros,Halteres e banco,"['Intermediário', 'Avançado']",elevacao_lateral_no_banco
treino_105,Elevação Frontal com Anilha,Hipertrofia – Peitoral,Ombros / Peitoral,Anilhas,"['Intermediário', 'Avançado']",elevacao_frontal_com_anilha
treino_106,Elevação Lateral com Halteres,Hipertrofia – Ombros,Ombros,Halteres,['Avançado'],elevacao_lateral_com_halteres
treino_107,Tríceps com Corda,Hipertrofia – Tríceps,Tríceps,Crossover ou Crosmith + corda,"['Iniciante', 'Intermediário', 'Avançado']",triceps_com_corda
treino_108,Tríceps Francês com Corda,Hipertrofia – Tríceps,Tríceps,Crossover ou Crosmith + corda,['Avançado'],triceps_frances_com_corda
treino_109,Tríceps Paralelo,Hipertrofia – Tríceps,Tríceps,Máquina de tríceps,"['Iniciante', 'Intermediário', 'Avançado']",triceps_paralelo
treino_110,Tríceps Francês com Corda,Hipertrofia – Tríceps,Tríceps,Crossover ou Crosmith + corda,"['Iniciante', 'Intermediário', 'Avançado']",triceps_frances_com_corda
treino_111,Tríceps Testa na Polia,Hipertrofia – Tríceps,Tríceps,Crossover ou Crosmith + barra reta,['Avançado'],triceps_testa_na_polia
treino_112,Tríceps Francês com Corda,Hipertrofia – Tríceps,Tríceps,Crossover ou Crosmith + corda,['Avançado'],triceps_frances_com_corda
treino_113,Full Body – Afundo com Recuo e Rosca Direta,Full Body / Funcional,Corpo todo,Halteres,"['Intermediário', 'Avançado']",full_body_afundo_com_recuo_e_rosca_direta
treino_114,Full Body – Agachamento Sumô com Elevação Lateral,Full Body / Funcional,Corpo todo,Halteres,"['Intermediário', 'Avançado']",full_body_agachamento_sumo_com_elevacao_lateral
treino_115,Full Body – Afundo com Recuo e Remada Curvada,Full Body / Funcional,Corpo todo,Anilhas,"['Intermediário', 'Avançado']",full_body_afundo_com_recuo_e_remada_curvada
treino_116,Búlgaro sem Peso,Hipertrofia – Membros Inferiores,Glúteos / Isquiotibiais / Quadríceps,"Aparelho de búlgaro, banco ou caixote","['Iniciante', 'Intermediário', 'Avançado']",bulgaro_sem_peso
treino_117,Remada Articulada,Hipertrofia – Costas,Dorsal,Remada articulada,"['Intermediário', 'Avançado']",remada_articulada
